"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1821","User login with wrong email or password","LMS system","Thu Apr 23 10:22:12 UTC 2026","passed","Thu Apr 23 10:22:13 UTC 2026","Authorization","Authentication","",""
"","2096","User login with wrong email or password","LMS system","Thu Apr 23 10:22:18 UTC 2026","passed","Thu Apr 23 10:22:20 UTC 2026","Authorization","Authentication","",""
"","0","Edit course","LMS system","Thu Apr 23 10:22:32 UTC 2026","broken","Thu Apr 23 10:22:32 UTC 2026","Courses","Courses","",""
"","1825","Registration with correct email, username and password","LMS system","Thu Apr 23 10:22:29 UTC 2026","passed","Thu Apr 23 10:22:31 UTC 2026","Registration","Authentication","",""
"","2334","User login with wrong email or password","LMS system","Thu Apr 23 10:22:18 UTC 2026","passed","Thu Apr 23 10:22:20 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Thu Apr 23 10:22:31 UTC 2026","broken","Thu Apr 23 10:22:31 UTC 2026","Courses","Courses","",""
"","3639","User login with correct email and password","LMS system","Thu Apr 23 10:22:24 UTC 2026","passed","Thu Apr 23 10:22:28 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Thu Apr 23 10:22:32 UTC 2026","broken","Thu Apr 23 10:22:32 UTC 2026","Dashboard","Dashboard","",""
"","1670","Navigation from login page to registration page","LMS system","Thu Apr 23 10:22:27 UTC 2026","passed","Thu Apr 23 10:22:29 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of dashboard page","LMS system","Thu Apr 23 10:22:32 UTC 2026","broken","Thu Apr 23 10:22:32 UTC 2026","Dashboard","Dashboard","",""
"","1696","Navigation from login page to registration page","LMS system","Thu Apr 23 10:22:28 UTC 2026","passed","Thu Apr 23 10:22:30 UTC 2026","Authorization","Authentication","",""
"","0","Edit course","LMS system","Thu Apr 23 10:22:32 UTC 2026","broken","Thu Apr 23 10:22:32 UTC 2026","Courses","Courses","",""
"","1316","User login with wrong email or password","LMS system","Thu Apr 23 10:22:14 UTC 2026","passed","Thu Apr 23 10:22:15 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Thu Apr 23 10:22:31 UTC 2026","broken","Thu Apr 23 10:22:31 UTC 2026","Courses","Courses","",""
"","5692","User login with correct email and password","LMS system","Thu Apr 23 10:22:21 UTC 2026","passed","Thu Apr 23 10:22:26 UTC 2026","Authorization","Authentication","",""
"","2972","Registration with correct email, username and password","LMS system","Thu Apr 23 10:22:31 UTC 2026","passed","Thu Apr 23 10:22:34 UTC 2026","Registration","Authentication","",""
"","2937","User login with wrong email or password","LMS system","Thu Apr 23 10:22:21 UTC 2026","passed","Thu Apr 23 10:22:24 UTC 2026","Authorization","Authentication","",""
"","0","Create course","LMS system","Thu Apr 23 10:22:34 UTC 2026","broken","Thu Apr 23 10:22:34 UTC 2026","Courses","Courses","",""
"","1870","User login with wrong email or password","LMS system","Thu Apr 23 10:22:12 UTC 2026","passed","Thu Apr 23 10:22:13 UTC 2026","Authorization","Authentication","",""
"","0","Check displaying of empty courses list","LMS system","Thu Apr 23 10:22:32 UTC 2026","broken","Thu Apr 23 10:22:32 UTC 2026","Courses","Courses","",""
